number,word,english,example
0,null,zero,Die Temperatur ist null Grad.
1,eins,one,Ich habe nur einen Euro.
2,zwei,two,Es gibt zwei Äpfel auf dem Tisch.
3,drei,three,Ich habe drei Kinder.
4,vier,four,Es sind vier Personen im Auto.
5,fünf,five,Die Hand hat fünf Finger.
6,sechs,six,Eine Woche hat sechs Arbeitstage.
7,sieben,seven,Die Woche hat sieben Tage.
8,acht,eight,Der Unterricht beginnt um acht Uhr.
9,neun,nine,Ich arbeite von neun bis fünf.
10,zehn,ten,Wir haben zehn Finger.
11,elf,eleven,Die Geschäfte schließen um elf.
12,zwölf,twelve,Es ist zwölf Uhr mittags.
13,dreizehn,thirteen,Ich bin dreizehn Jahre alt.
14,vierzehn,fourteen,Der Bus kommt um vierzehn Uhr.
15,fünfzehn,fifteen,In fünfzehn Minuten gehe ich.
16,sechzehn,sixteen,Sie ist sechzehn Jahre alt.
17,siebzehn,seventeen,Der Zug fährt um siebzehn Uhr.
18,achtzehn,eighteen,Er wird achtzehn Jahre alt.
19,neunzehn,nineteen,Das kostet neunzehn Euro.
20,zwanzig,twenty,Ich warte schon zwanzig Minuten.
30,dreißig,thirty,Er ist dreißig Jahre alt.
40,vierzig,forty,Das kostet vierzig Euro.
50,fünfzig,fifty,Meine Mutter ist fünfzig Jahre alt.
60,sechzig,sixty,Der Großvater ist sechzig.
70,siebzig,seventy,Das Haus ist siebzig Jahre alt.
80,achtzig,eighty,Die Großmutter wird achtzig.
90,neunzig,ninety,Das kostet neunzig Euro.
100,hundert,hundred,Das Buch hat hundert Seiten.
1000,tausend,thousand,Die Stadt hat tausend Einwohner.