noun,article,english,plural,example,related
Mann,der,man,Männer,Der Mann ist groß.,Person
Frau,die,woman,Frauen,Die Frau ist nett.,Person
Kind,das,child,Kinder,Das Kind spielt im Garten.,Familie
Name,der,name,Namen,Mein Name ist Peter.,Person
Familie,die,family,Familien,Die Familie wohnt in Berlin.,Menschen
Haus,das,house,Häuser,Das Haus ist sehr alt.,Wohnung
Wohnung,die,apartment,Wohnungen,Die Wohnung hat drei Zimmer.,Haus
Zimmer,das,room,Zimmer,Das Zimmer ist klein.,Raum
Küche,die,kitchen,Küchen,Die Küche ist modern.,Zimmer
Tisch,der,table,Tische,Der Tisch ist aus Holz.,Möbel
Stuhl,der,chair,Stühle,Der Stuhl ist bequem.,Möbel
Bett,das,bed,Betten,Das Bett ist weich.,Möbel
Tag,der,day,Tage,Der Tag ist schön.,Zeit
Zeit,die,time,Zeiten,Die Zeit vergeht schnell.,Uhr
Uhr,die,clock/watch,Uhren,Die Uhr zeigt acht.,Zeit
Wasser,das,water,Wasser,Das Wasser ist kalt.,Getränk
Brot,das,bread,Brote,Das Brot ist frisch.,Essen
Milch,die,milk,Milch,Die Milch ist weiß.,Getränk
Apfel,der,apple,Äpfel,Der Apfel ist rot.,Obst
Kaffee,der,coffee,Kaffees,Der Kaffee ist heiß.,Getränk
Schule,die,school,Schulen,Die Schule beginnt um acht.,Lernen
Buch,das,book,Bücher,Das Buch ist interessant.,Lesen
Arbeit,die,work,Arbeiten,Die Arbeit macht Spaß.,Job
Auto,das,car,Autos,Das Auto ist blau.,Fahrzeug
Stadt,die,city,Städte,Die Stadt ist groß.,Ort