word,english,example,comparative,superlative
groß,big/tall,Er ist sehr groß.,größer,am größten
klein,small,Meine Wohnung ist klein.,kleiner,am kleinsten
alt,old,Das ist ein altes Haus.,älter,am ältesten
jung,young,Sie ist sehr jung.,jünger,am jüngsten
neu,new,Ich habe ein neues Auto.,neuer,am neuesten
gut,good,Das Essen schmeckt gut.,besser,am besten
schlecht,bad,Das Wetter ist schlecht.,schlechter,am schlechtesten
schön,beautiful,Das ist eine schöne Blume.,schöner,am schönsten
hässlich,ugly,Das ist ein hässliches Gebäude.,hässlicher,am hässlichsten
interessant,interesting,Das Buch ist sehr interessant.,interessanter,am interessantesten
langweilig,boring,Der Film ist langweilig.,langweiliger,am langweiligsten
wichtig,important,Das ist eine wichtige Frage.,wichtiger,am wichtigsten
kalt,cold,Heute ist es kalt.,kälter,am kältesten
warm,warm,Im Sommer ist es warm.,wärmer,am wärmsten
heiß,hot,Der Kaffee ist zu heiß.,heißer,am heißesten
teuer,expensive,Diese Uhr ist teuer.,teurer,am teuersten
billig,cheap,Das Buch ist billig.,billiger,am billigsten
leicht,light/easy,Die Aufgabe ist leicht.,leichter,am leichtesten
schwer,heavy/difficult,Die Prüfung ist schwer.,schwerer,am schwersten
schnell,fast,Er läuft sehr schnell.,schneller,am schnellsten
langsam,slow,Die Schildkröte ist langsam.,langsamer,am langsamsten
früh,early,Ich stehe früh auf.,früher,am frühesten
spät,late,Es ist schon spät.,später,am spätesten
richtig,right/correct,Deine Antwort ist richtig.,richtiger,am richtigsten
hell,bright,Das Zimmer ist hell.,heller,am hellsten
dunkel,dark,Es wird draußen dunkel.,dunkler,am dunkelsten
stark,strong,Er ist sehr stark.,stärker,am stärksten
schwach,weak,Ich fühle mich schwach.,schwächer,am schwächsten
laut,loud,Die Musik ist zu laut.,lauter,am lautesten
leise,quiet,Bitte sprich leise.,leiser,am leisesten
hoch,high,Der Berg ist sehr hoch.,höher,am höchsten
niedrig,low,Der Tisch ist niedrig.,niedriger,am niedrigsten
lang,long,Der Fluss ist lang.,länger,am längsten
kurz,short,Der Rock ist kurz.,kürzer,am kürzesten
breit,wide,Die Straße ist sehr breit.,breiter,am breitesten
schmal,narrow,Der Weg ist schmal.,schmaler,am schmalsten
dick,thick/fat,Das Buch ist dick.,dicker,am dicksten
dünn,thin,Sie ist sehr dünn.,dünner,am dünnsten
voll,full,Das Glas ist voll.,voller,am vollsten
leer,empty,Die Flasche ist leer.,leerer,am leersten
sauber,clean,Mein Zimmer ist sauber.,sauberer,am saubersten
schmutzig,dirty,Meine Hände sind schmutzig.,schmutziger,am schmutzigsten
nass,wet,Meine Kleidung ist nass.,nasser,am nassesten
trocken,dry,Die Wäsche ist jetzt trocken.,trockener,am trockensten
arm,poor,Er ist arm.,ärmer,am ärmsten
reich,rich,Sie ist sehr reich.,reicher,am reichsten
gesund,healthy,Obst ist gesund.,gesünder,am gesündesten
krank,sick,Ich bin krank.,kränker,am kränksten
müde,tired,Ich bin müde.,müder,am müdesten
glücklich,happy,Sie ist sehr glücklich.,glücklicher,am glücklichsten
traurig,sad,Er sieht traurig aus.,trauriger,am traurigsten
ruhig,calm/quiet,Die Straße ist ruhig.,ruhiger,am ruhigsten
nervös,nervous,Ich bin vor der Prüfung nervös.,nervöser,am nervösesten
ängstlich,afraid/anxious,Das Kind ist ängstlich.,ängstlicher,am ängstlichsten
freundlich,friendly,Die Leute hier sind sehr freundlich.,freundlicher,am freundlichsten
unfreundlich,unfriendly,Der Kellner war unfreundlich.,unfreundlicher,am unfreundlichsten
höflich,polite,Er ist immer sehr höflich.,höflicher,am höflichsten
unhöflich,impolite,Es ist unhöflich zu spät zu kommen.,unhöflicher,am unhöflichsten
lustig,funny,Der Film ist lustig.,lustiger,am lustigsten
ernst,serious,Das ist eine ernste Sache.,ernster,am ernstesten
offen,open,Das Fenster ist offen.,offener,am offensten
geschlossen,closed,Die Tür ist geschlossen.,geschlossener,am geschlossensten
einfach,simple/easy,Die Aufgabe ist einfach.,einfacher,am einfachsten
schwierig,difficult,Die Frage ist schwierig.,schwieriger,am schwierigsten
möglich,possible,Das ist möglich.,möglicher,am möglichsten
unmöglich,impossible,Das ist unmöglich.,unmöglicher,am unmöglichsten
wahr,true,Die Geschichte ist wahr.,wahrer,am wahrsten
falsch,false,Die Antwort ist falsch.,falscher,am falschesten
gleich,same/equal,Die beiden Häuser sind gleich.,gleicher,am gleichsten
verschieden,different,Unsere Meinungen sind verschieden.,verschiedener,am verschiedensten
fertig,ready/done,Ich bin fertig mit der Arbeit.,fertiger,am fertigsten
deutlich,clear,Seine Aussprache ist sehr deutlich.,deutlicher,am deutlichsten
genau,exact/precise,Das ist die genaue Zeit.,genauer,am genauesten
ähnlich,similar,Die beiden Schwestern sehen ähnlich aus.,ähnlicher,am ähnlichsten
wunderbar,wonderful,Das war ein wunderbarer Tag.,wunderbarer,am wunderbarsten
schrecklich,terrible,Der Film war schrecklich.,schrecklicher,am schrecklichsten
weit,far,Die Schule ist weit von hier.,weiter,am weitesten
nah,near/close,Das Restaurant ist nah.,näher,am nächsten
vorsichtig,careful,Sei vorsichtig!,vorsichtiger,am vorsichtigsten
gefährlich,dangerous,Das ist gefährlich.,gefährlicher,am gefährlichsten
sicher,safe/secure,Ich fühle mich hier sicher.,sicherer,am sichersten
praktisch,practical,Das ist eine praktische Lösung.,praktischer,am praktischsten
theoretisch,theoretical,Das ist eine theoretische Frage.,theoretischer,am theoretischsten
bequem,comfortable,Der Stuhl ist sehr bequem.,bequemer,am bequemsten
unbequem,uncomfortable,Diese Schuhe sind unbequem.,unbequemer,am unbequemsten
ordentlich,tidy/neat,Sein Zimmer ist sehr ordentlich.,ordentlicher,am ordentlichsten
unordentlich,untidy/messy,Mein Schreibtisch ist unordentlich.,unordentlicher,am unordentlichsten
normal,normal,Das ist normal.,normaler,am normalsten
komisch,funny/strange,Das ist komisch.,komischer,am komischsten
seltsam,strange,Das ist ein seltsames Geräusch.,seltsamer,am seltsamsten
bereit,ready,Ich bin bereit.,bereiter,am bereitesten
böse,angry/evil,Er ist böse auf mich.,böser,am bösesten
fleißig,hardworking/diligent,Sie ist eine fleißige Studentin.,fleißiger,am fleißigsten
faul,lazy,Er ist faul.,fauler,am faulsten
geduldig,patient,Der Lehrer ist sehr geduldig.,geduldiger,am geduldigsten
ungeduldig,impatient,Ich bin sehr ungeduldig.,ungeduldiger,am ungeduldigsten
zufrieden,satisfied/content,Ich bin mit meiner Arbeit zufrieden.,zufriedener,am zufriedensten
unzufrieden,dissatisfied,Er ist mit dem Ergebnis unzufrieden.,unzufriedener,am unzufriedensten
